no,name,location,weather,value,time,north_months,south_months,north_month_label,south_month_label
80,Scorpion,Ground,,8000,7 p.m. - 4 a.m.,"May, June, July, August, September, October","November, December, January, February, March, April",May-October,November-April
79,Tarantula,Ground,,8000,7 p.m. - 4 a.m.,"November, December, January, February, March, April","May, June, July, August, September, October",November-April,May-October
78,Spider,Trees (Shake),,480,7 p.m. - 8 a.m.,All,All,All,All
77,Centipede,Rocks (Hit),,300,4 p.m. - 11 p.m.,"September, October, November, December, January, February, March, April, May, June","March, April, May, June, July, August, September, October, November, December",September-June,March-December
76,Pill Bug,Rocks (Hit),,250,11 p.m. - 4 p.m.,"September, October, November, December, January, February, March, April, May, June","March, April, May, June, July, August, September, October, November, December",September-June,March-December
75,Snail,Rocks (Raining),Rain,250,All day,All,All,All,All
74,Flea,Villagers,,70,All day,"April, May, June, July, August, September, October, November","October, November, December, January, February, March, April, May",April-November,October-May
73,Mosquito,Flying,,130,5 p.m. - 4 a.m.,"June, July, August, September","December, January, February, March",June-September,December-March
72,Fly,Trash items,,60,All day,All,All,All,All
71,Wharf Roach,Rocks (Beach),,200,All day,All,All,All,All
70,Hermit Crab,Beach,,1000,7 p.m. - 8 a.m.,All,All,All,All
69,Ant,Rotten food,,80,All day,All,All,All,All
68,Bagworm,Trees (Shake),,600,All day,All,All,All,All
67,Walking Leaf,"Ground (Near trees, disguised as furniture leaf)",,600,All day,"July, August","January, February, March",July-August,January-March
66,Walking Stick,Trees (Shake),,600,"4 a.m. - 8 a.m., 5 p.m. - 7 p.m.","July, August, September, October, November","January, February, March, April, May",July-November,January-May
65,Horned Herucles,Trees,,,5 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
64,Horned Elephant,Trees,,8000,5 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
63,Horned Atlas,Trees,,8000,5 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
62,Horned Dynastid,Trees,,1350,5 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
61,Giraffe Stag,Trees,,,5 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
60,Golden Stag,Trees,,,5 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
59,Cyclommatus Stag,Trees,,8000,5 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
58,Rainbow Stag,Trees,,6000,7 p.m. - 8 a.m.,"June, July, August, September","December, January, February, March",June-September,December-March
57,Giant Stag,Trees,,10000,11 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
56,Miyama Stag,Trees,,1000,All day,"July, August","January, February",July-August,January-February
55,Saw Stag,Trees,,2000,All day,"July, August","January, February",July-August,January-February
54,Goliath Beetle,Coconut trees,,8000,5 p.m. - 8 a.m.,"June, July, August, September","December, January, February, March",June-September,December-March
53,Drone Beetle,Trees,,200,All day,"June, July, August","December, January, February",June-August,December-February
52,Scarab Beetle,Trees,,10000,11 p.m. - 8 a.m.,"July, August","January, February",July-August,January-February
51,Earth-boring Dung Beetle,Ground,,300,All day,"July, August, September","January, February, March",July-September,January-March
50,Dung Beetle,Snowballs,,3000,All day,"December, January, February","June, July, August",December-February,June-August
49,Blue Weevil Beetle,Palm trees,,800,All day,"July, August","January, February",July-August,January-February
48,Rosalia Batesi Beetle,Tree stumps,,3000,All day,"May, June, July, August, September","November, December, January, February, March",May-September,November-March
47,Citrus Long-horned Beetle,Tree stumps,,350,All day,All,All,All,All
46,Violin Beetle,Tree stumps,,450,All day,"May, June, September, October, November","November, December, March, April","May-June, September-November","November-December, March-April"
45,Jewel Beetle,Trees,,2400,All day,"April, May, June, July, August","October, November, December, January, February",April-August,October-February
44,Tiger Beetle,Ground,,1500,All day,"February, March, April, May, June, July, August, September, October, November","August, September, October, November, December, January, February, March, April, May",February-November,August-May
